"","state","date","cases","deaths","weekday","new_cases","new_deaths","mask_mandate","mandate_start","mandate_end","population","us_population"
"80","Alabama",2020-11-17,220848,3301,"Tuesday",14281,181,"no",2020-07-16,2021-04-09,4887871,327167434
"81","Alabama",2020-03-31,999,14,"Tuesday",757,14,"no",2020-07-16,2021-04-09,4887871,327167434
"82","Alabama",2021-07-27,574737,11492,"Tuesday",12426,32,"no",2020-07-16,2021-04-09,4887871,327167434
"83","Alabama",2021-09-07,727360,12420,"Tuesday",27631,137,"no",2020-07-16,2021-04-09,4887871,327167434
"84","Alabama",2021-07-20,562311,11460,"Tuesday",7096,58,"no",2020-07-16,2021-04-09,4887871,327167434
"85","Alabama",2021-01-19,426543,6126,"Tuesday",18695,553,"no",2020-07-16,2021-04-09,4887871,327167434
"86","Alabama",2021-01-26,445909,6896,"Tuesday",19366,770,"no",2020-07-16,2021-04-09,4887871,327167434
"87","Alabama",2020-03-24,242,0,"Tuesday",203,0,"no",2020-07-16,2021-04-09,4887871,327167434
"88","Alabama",2020-11-10,206567,3120,"Tuesday",10638,133,"no",2020-07-16,2021-04-09,4887871,327167434
"89","Alabama",2021-05-25,542562,11124,"Tuesday",1959,81,"no",2020-07-16,2021-04-09,4887871,327167434
"90","Alaska",2021-05-04,67964,331,"Tuesday",860,1,"no",2020-04-24,2020-05-22,737438,327167434
"91","Alaska",2021-05-11,68617,334,"Tuesday",653,3,"no",2020-04-24,2020-05-22,737438,327167434
"92","Alaska",2020-09-29,8602,52,"Tuesday",781,10,"no",2020-04-24,2020-05-22,737438,327167434
"93","Alaska",2020-07-28,3348,20,"Tuesday",825,4,"no",2020-04-24,2020-05-22,737438,327167434
"94","Alaska",2020-10-13,10960,56,"Tuesday",1304,2,"no",2020-04-24,2020-05-22,737438,327167434
"95","Alaska",2020-09-15,7256,41,"Tuesday",586,2,"no",2020-04-24,2020-05-22,737438,327167434
"96","Alaska",2021-07-13,71291,364,"Tuesday",517,4,"no",2020-04-24,2020-05-22,737438,327167434
"97","Alaska",2020-03-17,6,0,"Tuesday",0,0,"no",2020-04-24,2020-05-22,737438,327167434
"98","Alaska",2021-11-02,138996,716,"Tuesday",4194,20,"no",2020-04-24,2020-05-22,737438,327167434
"99","Alaska",2020-09-01,6109,36,"Tuesday",488,3,"no",2020-04-24,2020-05-22,737438,327167434
"100","Alaska",2020-04-28,349,7,"Tuesday",22,0,"no",2020-04-24,2020-05-22,737438,327167434
"101","Alaska",2021-11-23,148004,840,"Tuesday",2363,20,"no",2020-04-24,2020-05-22,737438,327167434
"102","Alaska",2020-05-12,383,8,"Tuesday",14,1,"no",2020-04-24,2020-05-22,737438,327167434
"103","Alaska",2020-06-30,1132,12,"Tuesday",227,2,"no",2020-04-24,2020-05-22,737438,327167434
"104","Alaska",2020-10-06,9656,54,"Tuesday",1054,2,"no",2020-04-24,2020-05-22,737438,327167434
"105","Alaska",2020-08-11,4587,24,"Tuesday",464,1,"no",2020-04-24,2020-05-22,737438,327167434
"106","Alaska",2020-08-18,5175,27,"Tuesday",588,3,"no",2020-04-24,2020-05-22,737438,327167434
"107","Alaska",2020-03-24,42,0,"Tuesday",36,0,"no",2020-04-24,2020-05-22,737438,327167434
"108","Alaska",2020-07-07,1423,15,"Tuesday",291,3,"no",2020-04-24,2020-05-22,737438,327167434
"109","Alaska",2020-07-14,1897,15,"Tuesday",474,0,"no",2020-04-24,2020-05-22,737438,327167434
"110","Alaska",2020-07-21,2523,16,"Tuesday",626,1,"no",2020-04-24,2020-05-22,737438,327167434
"111","Alaska",2021-01-19,51914,221,"Tuesday",1671,5,"no",2020-04-24,2020-05-22,737438,327167434
"112","Alaska",2021-08-24,84174,410,"Tuesday",3518,19,"no",2020-04-24,2020-05-22,737438,327167434
"113","Alaska",2021-08-17,80656,391,"Tuesday",2616,8,"no",2020-04-24,2020-05-22,737438,327167434
"114","Alaska",2020-10-27,14699,66,"Tuesday",2350,3,"no",2020-04-24,2020-05-22,737438,327167434
"115","Alaska",2021-05-18,69088,351,"Tuesday",471,17,"no",2020-04-24,2020-05-22,737438,327167434
"116","Alaska",2020-05-19,399,8,"Tuesday",16,0,"no",2020-04-24,2020-05-22,737438,327167434
"117","Alaska",2020-05-26,416,8,"Tuesday",17,0,"no",2020-04-24,2020-05-22,737438,327167434
"118","Alaska",2020-05-05,369,7,"Tuesday",20,0,"no",2020-04-24,2020-05-22,737438,327167434
"119","Alaska",2021-10-19,129713,665,"Tuesday",5997,71,"no",2020-04-24,2020-05-22,737438,327167434
"120","Alaska",2021-11-09,142893,802,"Tuesday",3897,86,"no",2020-04-24,2020-05-22,737438,327167434
"121","Alaska",2020-08-04,4123,23,"Tuesday",775,3,"no",2020-04-24,2020-05-22,737438,327167434
"122","Alaska",2021-11-16,145641,820,"Tuesday",2748,18,"no",2020-04-24,2020-05-22,737438,327167434
"123","Alaska",2021-10-26,134802,696,"Tuesday",5089,31,"no",2020-04-24,2020-05-22,737438,327167434
"124","Alaska",2021-07-20,72281,364,"Tuesday",990,0,"no",2020-04-24,2020-05-22,737438,327167434
"125","Alaska",2020-12-08,37923,139,"Tuesday",5012,23,"no",2020-04-24,2020-05-22,737438,327167434
"126","Alaska",2020-11-17,24909,94,"Tuesday",4194,7,"no",2020-04-24,2020-05-22,737438,327167434
"127","Alaska",2020-11-24,28708,110,"Tuesday",3799,16,"no",2020-04-24,2020-05-22,737438,327167434
"128","Alaska",2020-12-01,32911,116,"Tuesday",4203,6,"no",2020-04-24,2020-05-22,737438,327167434
"129","Alaska",2020-09-22,7821,42,"Tuesday",565,1,"no",2020-04-24,2020-05-22,737438,327167434
"130","Alaska",2020-09-08,6670,39,"Tuesday",561,3,"no",2020-04-24,2020-05-22,737438,327167434
"131","Alaska",2021-10-05,117953,564,"Tuesday",6381,19,"no",2020-04-24,2020-05-22,737438,327167434
"132","Alaska",2021-10-12,123716,594,"Tuesday",5763,30,"no",2020-04-24,2020-05-22,737438,327167434
"133","Alaska",2021-03-23,61212,298,"Tuesday",935,6,"no",2020-04-24,2020-05-22,737438,327167434
"134","Alaska",2020-12-29,45856,193,"Tuesday",1615,7,"no",2020-04-24,2020-05-22,737438,327167434
"135","Alaska",2021-01-05,48302,209,"Tuesday",2446,16,"no",2020-04-24,2020-05-22,737438,327167434
"136","Alaska",2021-01-12,50243,216,"Tuesday",1941,7,"no",2020-04-24,2020-05-22,737438,327167434
"137","Alaska",2021-04-20,65944,318,"Tuesday",1135,18,"no",2020-04-24,2020-05-22,737438,327167434
"138","Alaska",2021-04-27,67104,330,"Tuesday",1160,12,"no",2020-04-24,2020-05-22,737438,327167434
"139","Alaska",2021-01-26,53143,251,"Tuesday",1229,30,"no",2020-04-24,2020-05-22,737438,327167434
"140","Alaska",2021-02-02,54223,269,"Tuesday",1080,18,"no",2020-04-24,2020-05-22,737438,327167434
"141","Alaska",2021-02-09,55500,269,"Tuesday",1277,0,"no",2020-04-24,2020-05-22,737438,327167434
"142","Alaska",2021-02-16,56504,276,"Tuesday",1004,7,"no",2020-04-24,2020-05-22,737438,327167434
"143","Alaska",2021-02-23,57371,279,"Tuesday",867,3,"no",2020-04-24,2020-05-22,737438,327167434
"144","Alaska",2021-03-02,58383,290,"Tuesday",1012,11,"no",2020-04-24,2020-05-22,737438,327167434
"145","Alaska",2021-03-09,59299,291,"Tuesday",916,1,"no",2020-04-24,2020-05-22,737438,327167434
"146","Alaska",2020-12-15,41645,172,"Tuesday",3722,33,"no",2020-04-24,2020-05-22,737438,327167434
"147","Alaska",2020-12-22,44241,186,"Tuesday",2596,14,"no",2020-04-24,2020-05-22,737438,327167434
"148","Alaska",2021-04-06,63566,299,"Tuesday",1171,0,"no",2020-04-24,2020-05-22,737438,327167434
"149","Alaska",2021-04-13,64809,300,"Tuesday",1243,1,"no",2020-04-24,2020-05-22,737438,327167434
"150","Alaska",2020-10-20,12349,63,"Tuesday",1389,7,"no",2020-04-24,2020-05-22,737438,327167434
"151","Alaska",2021-08-10,78040,383,"Tuesday",2148,9,"no",2020-04-24,2020-05-22,737438,327167434
"152","Alaska",2020-04-14,283,7,"Tuesday",72,3,"no",2020-04-24,2020-05-22,737438,327167434
"153","Alaska",2020-04-21,327,7,"Tuesday",44,0,"no",2020-04-24,2020-05-22,737438,327167434
"154","Alaska",2021-08-31,87842,427,"Tuesday",3668,17,"no",2020-04-24,2020-05-22,737438,327167434
"155","Alaska",2020-11-03,17339,79,"Tuesday",2640,13,"no",2020-04-24,2020-05-22,737438,327167434
"156","Alaska",2020-11-10,20715,87,"Tuesday",3376,8,"no",2020-04-24,2020-05-22,737438,327167434
"157","Alaska",2021-06-01,69737,352,"Tuesday",261,0,"no",2020-04-24,2020-05-22,737438,327167434
"158","Alaska",2021-06-08,69937,352,"Tuesday",200,0,"no",2020-04-24,2020-05-22,737438,327167434
"159","Alaska",2021-03-16,60277,292,"Tuesday",978,1,"no",2020-04-24,2020-05-22,737438,327167434
"160","Alaska",2021-06-15,70132,356,"Tuesday",195,4,"no",2020-04-24,2020-05-22,737438,327167434
"161","Alaska",2021-06-22,70372,356,"Tuesday",240,0,"no",2020-04-24,2020-05-22,737438,327167434
"162","Alaska",2021-07-06,70774,360,"Tuesday",193,3,"no",2020-04-24,2020-05-22,737438,327167434
"163","Alaska",2021-07-27,73757,367,"Tuesday",1476,3,"no",2020-04-24,2020-05-22,737438,327167434
"164","Alaska",2021-08-03,75892,374,"Tuesday",2135,7,"no",2020-04-24,2020-05-22,737438,327167434
"165","Alaska",2020-04-07,211,4,"Tuesday",78,2,"no",2020-04-24,2020-05-22,737438,327167434
"166","Alaska",2021-06-29,70581,357,"Tuesday",209,1,"no",2020-04-24,2020-05-22,737438,327167434
"167","Alaska",2021-09-28,111572,545,"Tuesday",9021,82,"no",2020-04-24,2020-05-22,737438,327167434
"168","Alaska",2021-09-07,92054,433,"Tuesday",4212,6,"no",2020-04-24,2020-05-22,737438,327167434
"169","Alaska",2021-09-14,96567,449,"Tuesday",4513,16,"no",2020-04-24,2020-05-22,737438,327167434
"170","Alaska",2021-09-21,102551,463,"Tuesday",5984,14,"no",2020-04-24,2020-05-22,737438,327167434
"171","Alaska",2020-06-09,620,9,"Tuesday",123,1,"no",2020-04-24,2020-05-22,737438,327167434
"172","Alaska",2020-08-25,5621,33,"Tuesday",446,6,"no",2020-04-24,2020-05-22,737438,327167434
"173","Alaska",2020-06-23,905,10,"Tuesday",154,0,"no",2020-04-24,2020-05-22,737438,327167434
"174","Alaska",2020-06-02,497,8,"Tuesday",81,0,"no",2020-04-24,2020-05-22,737438,327167434
"175","Alaska",2021-03-30,62395,299,"Tuesday",1183,1,"no",2020-04-24,2020-05-22,737438,327167434
"176","Alaska",2020-06-16,751,10,"Tuesday",131,1,"no",2020-04-24,2020-05-22,737438,327167434
"177","Alaska",2020-03-31,133,2,"Tuesday",91,2,"no",2020-04-24,2020-05-22,737438,327167434
"178","Alaska",2021-05-25,69476,352,"Tuesday",388,1,"no",2020-04-24,2020-05-22,737438,327167434
"179","American Samoa",2021-09-21,1,0,"Tuesday",0,0,"no",NA,NA,NA,NA
"180","American Samoa",2021-09-28,1,0,"Tuesday",0,0,"no",NA,NA,NA,NA
"181","American Samoa",2021-10-05,1,0,"Tuesday",0,0,"no",NA,NA,NA,NA
"182","American Samoa",2021-10-12,1,0,"Tuesday",0,0,"no",NA,NA,NA,NA
"183","American Samoa",2021-10-19,1,0,"Tuesday",0,0,"no",NA,NA,NA,NA
"184","American Samoa",2021-10-26,1,0,"Tuesday",0,0,"no",NA,NA,NA,NA
"185","American Samoa",2021-11-02,1,0,"Tuesday",0,0,"no",NA,NA,NA,NA
"186","American Samoa",2021-11-09,1,0,"Tuesday",0,0,"no",NA,NA,NA,NA
"187","American Samoa",2021-11-16,1,0,"Tuesday",0,0,"no",NA,NA,NA,NA
"188","American Samoa",2021-11-23,1,0,"Tuesday",0,0,"no",NA,NA,NA,NA
"189","Arizona",2020-01-28,1,0,"Tuesday",0,0,"no",2020-05-08,2021-03-25,7171646,327167434
"190","Arizona",2020-07-21,148730,2918,"Tuesday",20604,577,"no",2020-05-08,2021-03-25,7171646,327167434
"191","Arizona",2021-04-20,855155,17193,"Tuesday",4295,88,"no",2020-05-08,2021-03-25,7171646,327167434
"192","Arizona",2020-10-27,240158,5891,"Tuesday",7219,54,"no",2020-05-08,2021-03-25,7171646,327167434
"193","Arizona",2020-07-14,128126,2341,"Tuesday",22967,408,"no",2020-05-08,2021-03-25,7171646,327167434
"194","Arizona",2020-07-07,105159,1933,"Tuesday",25760,288,"no",2020-05-08,2021-03-25,7171646,327167434
"195","Arizona",2020-08-18,194931,4535,"Tuesday",6151,330,"no",2020-05-08,2021-03-25,7171646,327167434
"196","Arizona",2020-03-03,2,0,"Tuesday",1,0,"no",2020-05-08,2021-03-25,7171646,327167434
"197","Arizona",2020-11-03,249841,6022,"Tuesday",9683,131,"no",2020-05-08,2021-03-25,7171646,327167434
"198","Arizona",2020-09-15,209215,5346,"Tuesday",3167,125,"no",2020-05-08,2021-03-25,7171646,327167434
"199","Arizona",2020-09-22,214846,5501,"Tuesday",5631,155,"no",2020-05-08,2021-03-25,7171646,327167434
"200","Arizona",2020-03-10,6,0,"Tuesday",4,0,"no",2020-05-08,2021-03-25,7171646,327167434
"201","Arizona",2020-03-17,20,0,"Tuesday",14,0,"no",2020-05-08,2021-03-25,7171646,327167434
"202","Arizona",2020-06-30,79399,1645,"Tuesday",21002,247,"no",2020-05-08,2021-03-25,7171646,327167434
"203","Arizona",2021-07-13,901906,18055,"Tuesday",3996,55,"no",2020-05-08,2021-03-25,7171646,327167434
"204","Arizona",2021-07-20,910436,18117,"Tuesday",8530,62,"no",2020-05-08,2021-03-25,7171646,327167434
"205","Arizona",2021-04-27,860169,17276,"Tuesday",5014,83,"no",2020-05-08,2021-03-25,7171646,327167434
"206","Arizona",2020-09-29,218185,5632,"Tuesday",3339,131,"no",2020-05-08,2021-03-25,7171646,327167434
"207","Arizona",2020-11-10,263445,6198,"Tuesday",13604,176,"no",2020-05-08,2021-03-25,7171646,327167434
"208","Arizona",2020-11-17,281284,6320,"Tuesday",17839,122,"no",2020-05-08,2021-03-25,7171646,327167434
"209","Arizona",2020-08-25,199293,4796,"Tuesday",4362,261,"no",2020-05-08,2021-03-25,7171646,327167434
"210","Arizona",2020-12-01,338254,6692,"Tuesday",30311,177,"no",2020-05-08,2021-03-25,7171646,327167434
"211","Arizona",2020-06-02,21250,943,"Tuesday",4467,136,"no",2020-05-08,2021-03-25,7171646,327167434
"212","Arizona",2020-06-09,28396,1074,"Tuesday",7146,131,"no",2020-05-08,2021-03-25,7171646,327167434
"213","Arizona",2020-06-16,39298,1228,"Tuesday",10902,154,"no",2020-05-08,2021-03-25,7171646,327167434
"214","Arizona",2020-09-08,206048,5221,"Tuesday",3673,173,"no",2020-05-08,2021-03-25,7171646,327167434
"215","Arizona",2021-07-06,897910,18000,"Tuesday",3804,70,"no",2020-05-08,2021-03-25,7171646,327167434
"216","Arizona",2020-10-06,221937,5713,"Tuesday",3752,81,"no",2020-05-08,2021-03-25,7171646,327167434
"217","Arizona",2020-10-13,226749,5767,"Tuesday",4812,54,"no",2020-05-08,2021-03-25,7171646,327167434
"218","Arizona",2020-10-20,232939,5837,"Tuesday",6190,70,"no",2020-05-08,2021-03-25,7171646,327167434
"219","Arizona",2020-07-28,165994,3424,"Tuesday",17264,506,"no",2020-05-08,2021-03-25,7171646,327167434
"220","Arizona",2020-08-04,180537,3850,"Tuesday",14543,426,"no",2020-05-08,2021-03-25,7171646,327167434
"221","Arizona",2020-08-11,188780,4205,"Tuesday",8243,355,"no",2020-05-08,2021-03-25,7171646,327167434
"222","Arizona",2021-05-25,877682,17569,"Tuesday",3617,89,"no",2020-05-08,2021-03-25,7171646,327167434
"223","Arizona",2020-05-26,16783,807,"Tuesday",2217,103,"no",2020-05-08,2021-03-25,7171646,327167434
"224","Arizona",2021-06-08,884609,17713,"Tuesday",3155,85,"no",2020-05-08,2021-03-25,7171646,327167434
"225","Arizona",2021-06-15,887569,17779,"Tuesday",2960,66,"no",2020-05-08,2021-03-25,7171646,327167434
"226","Arizona",2021-06-22,890533,17858,"Tuesday",2964,79,"no",2020-05-08,2021-03-25,7171646,327167434
"227","Arizona",2020-06-23,58397,1398,"Tuesday",19099,170,"no",2020-05-08,2021-03-25,7171646,327167434
"228","Arizona",2020-03-24,326,6,"Tuesday",306,6,"no",2020-05-08,2021-03-25,7171646,327167434
"229","Arizona",2021-03-30,841078,16941,"Tuesday",3834,143,"no",2020-05-08,2021-03-25,7171646,327167434
"230","Arizona",2021-04-06,845488,16997,"Tuesday",4410,56,"no",2020-05-08,2021-03-25,7171646,327167434
"231","Arizona",2021-04-13,850860,17105,"Tuesday",5372,108,"no",2020-05-08,2021-03-25,7171646,327167434
"232","Arizona",2021-10-26,1150432,20967,"Tuesday",12796,288,"no",2020-05-08,2021-03-25,7171646,327167434
"233","Arizona",2021-11-02,1173340,21149,"Tuesday",22908,182,"no",2020-05-08,2021-03-25,7171646,327167434
"234","Arizona",2021-11-09,1195483,21486,"Tuesday",22143,337,"no",2020-05-08,2021-03-25,7171646,327167434
"235","Arizona",2021-08-24,991309,18638,"Tuesday",20786,171,"no",2020-05-08,2021-03-25,7171646,327167434
"236","Arizona",2021-08-31,1011923,18786,"Tuesday",20614,148,"no",2020-05-08,2021-03-25,7171646,327167434
"237","Arizona",2021-02-23,811560,15651,"Tuesday",11616,670,"no",2020-05-08,2021-03-25,7171646,327167434
"238","Arizona",2021-03-02,819281,16065,"Tuesday",7721,414,"no",2020-05-08,2021-03-25,7171646,327167434
"239","Arizona",2021-03-09,827800,16326,"Tuesday",8519,261,"no",2020-05-08,2021-03-25,7171646,327167434
"240","Arizona",2021-06-29,894106,17930,"Tuesday",3573,72,"no",2020-05-08,2021-03-25,7171646,327167434
"241","Arizona",2021-03-23,837244,16798,"Tuesday",3361,224,"no",2020-05-08,2021-03-25,7171646,327167434
"242","Arizona",2021-10-05,1106789,20211,"Tuesday",19338,291,"no",2020-05-08,2021-03-25,7171646,327167434
"243","Arizona",2021-10-12,1122390,20453,"Tuesday",15601,242,"no",2020-05-08,2021-03-25,7171646,327167434
"244","Arizona",2021-10-19,1137636,20679,"Tuesday",15246,226,"no",2020-05-08,2021-03-25,7171646,327167434
"245","Arizona",2020-04-28,6948,297,"Tuesday",1697,84,"no",2020-05-08,2021-03-25,7171646,327167434
