"","state","date","cases","deaths","weekday","new_cases","new_deaths","mask_mandate","mandate_start","mandate_end","population","us_population","prop_cases","prop_deaths","deaths_per_cases","weeks"
"176","New York",2020-03-24,25704,264,"Tuesday",24329,246,"no",2020-04-17,NA,19542209,327167434,1.31530678031332,0.0135092199658698,1.02707749766573,4
"177","North Carolina",2020-03-24,397,0,"Tuesday",355,0,"no",2020-06-26,2021-05-14,10383620,327167434,0.0382332943616966,0,0,4
"178","North Dakota",2020-03-24,37,0,"Tuesday",32,0,"no",2020-11-14,2021-01-18,760077,327167434,0.0486792785467788,0,0,2
"179","Ohio",2020-03-24,564,8,"Tuesday",497,8,"no",2020-07-23,2021-06-02,11689442,327167434,0.0482486674727502,0.000684378262024825,1.41843971631206,3
"180","Oklahoma",2020-03-24,106,3,"Tuesday",88,3,"no",NA,NA,3943079,327167434,0.0268825453408364,0.000760826754929333,2.83018867924528,3
"181","Oregon",2020-03-24,209,8,"Tuesday",143,6,"no",2020-07-01,2021-06-30,4190713,327167434,0.0498721816550072,0.00190898302985673,3.82775119617225,4
"182","Pennsylvania",2020-03-24,851,8,"Tuesday",750,8,"no",2020-07-01,2021-06-28,12807060,327167434,0.0664477249267201,0.000624655463470929,0.940070505287897,3
"183","Puerto Rico",2020-03-24,39,2,"Tuesday",34,2,"no",NA,NA,NA,NA,NA,NA,5.12820512820513,2
"184","Rhode Island",2020-03-24,124,0,"Tuesday",101,0,"no",2020-05-08,2021-07-06,1057315,327167434,0.117278199968789,0,0,4
"185","South Carolina",2020-03-24,342,8,"Tuesday",295,7,"no",2020-08-03,2021-05-11,5084127,327167434,0.067268185865538,0.00157352481556814,2.33918128654971,3
"186","South Dakota",2020-03-24,30,1,"Tuesday",19,0,"no",NA,NA,882235,327167434,0.0340045452742183,0.00113348484247394,3.33333333333333,3
"187","Tennessee",2020-03-24,678,2,"Tuesday",605,2,"no",NA,NA,6770010,327167434,0.100147562558992,0.0002954205385221,0.294985250737463,3
"188","Texas",2020-03-24,857,11,"Tuesday",751,10,"no",2020-07-03,2021-03-10,28701845,327167434,0.0298587076893489,0.000383250623783941,1.28354725787631,6
"189","Utah",2020-03-24,299,1,"Tuesday",248,1,"no",2020-04-10,2020-05-01,3161105,327167434,0.0945871775850533,0.000316345075535295,0.334448160535117,5
"190","Vermont",2020-03-24,95,7,"Tuesday",81,7,"no",2020-08-01,2021-06-14,626299,327167434,0.151684738439627,0.0111767702008146,7.36842105263158,3
"191","Virgin Islands",2020-03-24,17,0,"Tuesday",15,0,"no",NA,NA,NA,NA,NA,NA,0,2
"192","Virginia",2020-03-24,291,7,"Tuesday",224,5,"no",2020-05-29,2021-05-15,8517685,327167434,0.0341642124591365,0.000821819543690568,2.40549828178694,3
"193","Washington",2020-03-24,2469,123,"Tuesday",1561,69,"no",2020-06-26,NA,7535591,327167434,0.327645170763647,0.0163225419213967,4.98177399756987,10
"194","West Virginia",2020-03-24,39,0,"Tuesday",38,0,"no",2020-07-07,2021-06-20,1805832,327167434,0.0215966933801151,0,0,2
"195","Wisconsin",2020-03-24,481,5,"Tuesday",409,5,"no",2020-08-01,2021-03-31,5813568,327167434,0.0827374858262602,0.000860057025221,1.03950103950104,7
"196","Wyoming",2020-03-24,37,0,"Tuesday",22,0,"no",2020-12-09,2021-03-16,577737,327167434,0.0640429814950401,0,0,2
"197","Alabama",2020-03-31,999,14,"Tuesday",757,14,"no",2020-07-16,2021-04-09,4887871,327167434,0.20438346265685,0.00286423270990581,1.4014014014014,3
"198","Alaska",2020-03-31,133,2,"Tuesday",91,2,"no",2020-04-24,2020-05-22,737438,327167434,0.180354145026429,0.00271209240641247,1.50375939849624,3
"199","Arizona",2020-03-31,1298,24,"Tuesday",972,18,"no",2020-05-08,2021-03-25,7171646,327167434,0.180990528534175,0.00334651208383682,1.84899845916795,10
"200","Arkansas",2020-03-31,564,8,"Tuesday",333,6,"no",2020-07-20,2021-03-30,3013825,327167434,0.187137607525321,0.00265443414929533,1.41843971631206,3
"201","California",2020-03-31,8583,184,"Tuesday",5939,132,"no",2020-06-18,NA,39557045,327167434,0.216977784867398,0.00465151024299211,2.14377257369218,10
"202","Colorado",2020-03-31,2990,69,"Tuesday",2078,58,"no",2020-07-16,2021-05-15,5695564,327167434,0.524969959076924,0.0121146913633136,2.30769230769231,4
"203","Connecticut",2020-03-31,3128,69,"Tuesday",2510,57,"no",2020-04-20,NA,3572665,327167434,0.875536889128984,0.0193133137307864,2.20588235294118,4
"204","Delaware",2020-03-31,319,10,"Tuesday",215,10,"no",2020-04-28,2021-05-21,967171,327167434,0.329827920812349,0.0103394332543056,3.13479623824451,3
