"","X","state","date","cases","deaths","weekday","new_cases","new_deaths","mask_mandate","mandate_start","mandate_end","population","us_population","prop_cases","prop_deaths","deaths_per_cases","weeks","cases_proyected","deaths_proyected","new_cases_proyected","new_deaths_proyected"
"1115",2812,"New Hampshire",2021-02-23,73923,1155,"Tuesday",2708,19,"yes","2020-11-20","2021-04-16",1356458,327167434,54.4970798948438,0.851482316444741,1.56243658942413,52,72392.0516508403,1149.74551463444,2171.00637668537,18.5993771138371
"1116",2813,"New Jersey",2021-02-23,772267,22978,"Tuesday",21202,481,"yes","2020-04-08","2021-05-28",8908520,327167434,86.6885857583527,2.57932855289094,2.97539581517791,51,762710.87467698,22696.6259646715,21676.7178360074,329.464679788136
"1117",2816,"North Carolina",2021-02-23,847652,11007,"Tuesday",19667,396,"yes","2020-06-26","2021-05-14",10383620,327167434,81.6335728772817,1.06003493964533,1.29852816957903,52,840278.468777141,10882.5816686976,16880.3127219947,474.464562013614
"1118",2819,"Ohio",2021-02-23,958153,16972,"Tuesday",14862,519,"yes","2020-07-23","2021-06-02",11689442,327167434,81.9673856117341,1.45190848288567,1.77132462143311,51,952391.523850181,19433.7001383288,15522.9679401492,7406.92835043194
"1119",2821,"Oregon",2021-02-23,153645,2171,"Tuesday",2770,33,"yes","2020-07-01","2021-06-30",4190713,327167434,36.6632122027922,0.518050269727371,1.4129974942237,52,152368.38355865,2183.40661017728,2418.84797962944,108.458467427096
"1120",2822,"Pennsylvania",2021-02-23,922848,23749,"Tuesday",18645,583,"yes","2020-07-01","2021-06-28",12807060,327167434,72.0577556441525,1.85436782524639,2.57344654807726,51,914992.078175646,23425.2891338676,18278.8389779421,363.64946530353
"1121",2824,"Rhode Island",2021-02-23,124262,2476,"Tuesday",2190,132,"yes","2020-05-08","2021-07-06",1057315,327167434,117.52599745582,2.34178083163485,1.99256409843717,52,123412.770295352,2393.52659601608,2323.48337152437,113.870256849434
"1122",2825,"South Carolina",2021-02-23,506912,8357,"Tuesday",16459,302,"yes","2020-08-03","2021-05-11",5084127,327167434,99.7048264136596,1.64374336046287,1.64860962060476,51,500845.210231654,8242.33858657033,18913.7982480136,354.692859328582
"1123",2828,"Texas",2021-02-23,2614977,42728,"Tuesday",42234,1182,"yes","2020-07-03","2021-03-10",28701845,327167434,91.1083242209691,1.48868478664002,1.63397230644858,54,2601369.28572713,42355.5624648263,40770.1122369128,1227.89091557035
"1124",2830,"Vermont",2021-02-23,14691,199,"Tuesday",774,8,"yes","2020-08-01","2021-06-14",626299,327167434,23.4568472885954,0.317739609994587,1.35457082567558,51,14341.6767035335,193.550179651197,757.077486071666,2.3390873521839
"1125",2832,"Virginia",2021-02-23,567039,7658,"Tuesday",13731,621,"yes","2020-05-29","2021-05-15",8517685,327167434,66.5719617478223,0.899070580797482,1.35052439073856,51,563161.0763358,7107.54685760109,16766.2756680218,10.7736843584289
"1126",2834,"West Virginia",2021-02-23,130139,2274,"Tuesday",2022,58,"yes","2020-07-07","2021-06-20",1805832,327167434,72.0659507639692,1.25925335247133,1.74736243554968,50,129434.54927487,2249.75592433263,2079.67121014488,37.6662519057404
"1127",2835,"Wisconsin",2021-02-23,613427,6914,"Tuesday",5007,122,"yes","2020-08-01","2021-03-31",5813568,327167434,105.516440162048,1.1892868544756,1.12711047932354,55,611525.61765479,6854.34811140992,5209.42510994512,91.3995235523516
"1128",2836,"Wyoming",2021-02-23,53944,671,"Tuesday",593,9,"yes","2020-12-09","2021-03-16",577737,327167434,93.371205236985,1.16142812386951,1.24388254486134,50,53613.4235980369,669.629910012469,428.886366638908,10.8139278160475
"1129",2837,"Alabama",2021-03-02,494421,9991,"Tuesday",5448,331,"yes","2020-07-16","2021-04-09",4887871,327167434,101.152628618881,2.04403921461921,2.02074750061183,51,492248.113366333,9868.03219565568,5800.90841268143,252.195887052078
"1130",2839,"Arizona",2021-03-02,819281,16065,"Tuesday",7721,414,"yes","2020-05-08","2021-03-25",7171646,327167434,114.238906939913,2.24007152611827,1.96086568588799,58,817431.101291048,15997.1543499662,11723.4020906045,672.693867951892
"1131",2840,"Arkansas",2021-03-02,322949,5254,"Tuesday",6356,-123,"yes","2020-07-20","2021-03-30",3013825,327167434,107.155856760097,1.74329962754971,1.62688226314372,51,318138.239927654,5422.57290272609,2248.24700275896,64.6717575002422
"1132",2842,"Colorado",2021-03-02,432939,6054,"Tuesday",7784,51,"yes","2020-07-16","2021-05-15",5695564,327167434,76.0133675962556,1.06293248570291,1.39834942105008,52,428938.409622506,6038.81804127573,7173.48671137984,61.2994268310867
"1133",2844,"Delaware",2021-03-02,87193,1426,"Tuesday",1965,47,"yes","2020-04-28","2021-05-21",967171,327167434,90.1526203742668,1.47440318206398,1.63545238723292,51,86172.9875181969,1425.22449588532,1703.05775025686,97.7336607829041
"1134",2846,"Florida",2021-03-02,1918092,31134,"Tuesday",39567,922,"yes","2020-05-11","2021-05-04",21299325,327167434,90.0541214334257,1.46173646347948,1.62317553068362,53,1899494.97755341,30755.8396318792,38495.3058630079,1033.59039241224
"1135",2847,"Georgia",2021-03-02,986968,16936,"Tuesday",20837,535,"yes","2020-04-24","2021-05-01",10519475,327167434,93.8229331786995,1.60996627683416,1.71596242228725,53,976697.865483919,16767.9581629592,20269.2373874825,638.219535050215
"1136",2851,"Illinois",2021-03-02,1192860,22803,"Tuesday",12439,275,"yes","2020-05-01","2021-06-11",12741080,327167434,93.6231465464466,1.78972269226785,1.91162416377446,58,1186737.3380275,22694.3239860626,11302.3281749643,294.121242434478
"1137",2852,"Indiana",2021-03-02,665962,12623,"Tuesday",5733,173,"yes","2020-07-27","2021-04-06",6691878,327167434,99.5179529573014,1.88631651682831,1.89545349434352,52,663511.315706959,12560.9661155969,5415.12209745869,182.853891457988
"1138",2854,"Kansas",2021-03-02,297460,4743,"Tuesday",2575,100,"yes","2020-07-03","2021-04-01",2911505,327167434,102.167092277018,1.62905438939655,1.5945001008539,52,297073.626971914,4766.23859522085,4246.26810247579,251.867520145314
"1139",2855,"Kentucky",2021-03-02,409843,4822,"Tuesday",6900,186,"yes","2020-07-10","2021-06-11",4468402,327167434,91.7202615163094,1.07913298758706,1.17654809280627,52,407062.318007081,4710.24626000403,7203.30361850868,122.721183064176
"1140",2856,"Louisiana",2021-03-02,431271,9647,"Tuesday",5223,144,"yes","2020-08-07","2021-04-28",4659978,327167434,92.5478618139399,2.07018144720855,2.23687658108243,52,428903.452253559,9593.27013062502,5456.51533593878,185.685866544929
"1141",2857,"Maine",2021-03-02,44944,703,"Tuesday",1208,43,"yes","2020-05-01","2021-05-24",1338404,327167434,33.5802941413803,0.525252464876076,1.56416874332503,51,44228.1853161775,664.546552030532,879.572265758514,7.4623076407031
"1142",2858,"Maryland",2021-03-02,383352,7905,"Tuesday",5542,143,"yes","2020-04-18","2021-05-15",6042718,327167434,63.440326025474,1.30818615066929,2.06207349902961,52,380542.868672814,7838.10483336855,4746.54605627473,124.610419146102
"1143",2859,"Massachusetts",2021-03-02,582844,16182,"Tuesday",11061,299,"yes","2020-05-06","2021-05-29",6902149,327167434,84.4438449532167,2.34448720246404,2.77638613419714,57,577470.240742565,16043.397396188,9926.44946594012,250.054894763665
"1144",2861,"Minnesota",2021-03-02,485723,6558,"Tuesday",5564,56,"yes","2020-07-25","2021-05-14",5611179,327167434,86.563447717494,1.16873833467084,1.35015224726851,52,482917.592037742,6529.16935150219,5522.12005124416,44.8650295626949
"1145",2867,"New Hampshire",2021-03-02,75803,1170,"Tuesday",1880,15,"yes","2020-11-20","2021-04-16",1356458,327167434,55.8830424532127,0.86254052834662,1.54347453267021,53,75315.3737922986,1164.61883801187,2923.32214145837,14.8733233774326
"1146",2868,"New Jersey",2021-03-02,795785,23321,"Tuesday",23518,343,"yes","2020-04-08","2021-05-28",8908520,327167434,89.3285304405221,2.61783102019191,2.93056541653839,52,783091.39873586,23222.3428973822,20380.5240588801,525.71693271066
"1147",2871,"North Carolina",2021-03-02,864656,11320,"Tuesday",17004,313,"yes","2020-06-26","2021-05-14",10383620,327167434,83.2711520645016,1.09017856970883,1.30919116966747,53,857659.992806782,11210.5079874142,17381.5240296406,327.926318716643
"1148",2874,"Ohio",2021-03-02,970583,16750,"Tuesday",12430,-222,"yes","2020-07-23","2021-06-02",11689442,327167434,83.0307383363551,1.43291698611448,1.72576688443956,52,965671.57998658,17237.607427683,13280.0561363988,-2196.09271064578
"1149",2876,"Oregon",2021-03-02,156088,2231,"Tuesday",2443,60,"yes","2020-07-01","2021-06-30",4190713,327167434,37.2461678955347,0.532367642451296,1.42932192096766,53,155049.013044709,2187.69051940619,2680.6294860589,4.28390922890594
"1150",2877,"Pennsylvania",2021-03-02,940811,24135,"Tuesday",17963,386,"yes","2020-07-01","2021-06-28",12807060,327167434,73.4603414054436,1.88450745135886,2.5653399035513,52,932314.183348243,24045.9790965512,17322.1051725968,620.689962683547
"1151",2879,"Rhode Island",2021-03-02,126849,2525,"Tuesday",2587,49,"yes","2020-05-08","2021-07-06",1057315,327167434,119.972761192265,2.38812463646122,1.99055570008435,53,125371.689655786,2544.76191715788,1958.91936043424,151.235321141808
"1152",2880,"South Carolina",2021-03-02,518823,8576,"Tuesday",11911,219,"yes","2020-08-03","2021-05-11",5084127,327167434,102.047608173439,1.68681860228905,1.65297220824828,52,515347.48477105,8512.21983047513,14502.2745393958,269.881243904796
"1153",2883,"Texas",2021-03-02,2665566,44353,"Tuesday",50589,1625,"yes","2020-07-03","2021-03-10",28701845,327167434,92.8708938397514,1.54530135606265,1.66392428474853,55,2636353.28459511,43331.5514691771,34983.9988679737,975.989004350755
"1154",2885,"Vermont",2021-03-02,15372,206,"Tuesday",681,7,"yes","2020-08-01","2021-06-14",626299,327167434,24.5441873609889,0.328916380195402,1.34009888108249,52,15093.9957887882,203.124790777178,752.319085254654,9.57461112598054
"1155",2887,"Virginia",2021-03-02,578559,8943,"Tuesday",11520,1285,"yes","2020-05-29","2021-05-15",8517685,327167434,67.9244419111531,1.04993316846068,1.54573690842248,52,574031.758046215,7988.75803755008,10870.6817104159,881.211179948991
"1156",2889,"West Virginia",2021-03-02,132184,2301,"Tuesday",2045,27,"yes","2020-07-07","2021-06-20",1805832,327167434,73.1983927630034,1.27420490942679,1.74075531077891,51,131161.935748485,2303.56680973906,1727.38647361427,53.810885406433
"1157",2890,"Wisconsin",2021-03-02,618310,7055,"Tuesday",4883,141,"yes","2020-08-01","2021-03-31",5813568,327167434,106.356371852879,1.21354046258683,1.14101340751403,56,615945.930809906,6975.81933187788,4420.31315511616,121.471220467966
"1158",2891,"Wyoming",2021-03-02,54527,682,"Tuesday",583,11,"yes","2020-12-09","2021-03-16",577737,327167434,94.3803149183798,1.18046792917885,1.25075650595118,51,54242.9671533794,675.545780246209,629.543555342512,5.91587023373984
"1159",2892,"Alabama",2021-03-09,500616,10186,"Tuesday",6195,195,"yes","2020-07-16","2021-04-09",4887871,327167434,102.420051593015,2.08393388450718,2.03469325790626,52,497167.72043957,10160.7291622599,4919.60707323643,292.696966604237
"1160",2894,"Arizona",2021-03-09,827800,16326,"Tuesday",8519,261,"yes","2020-05-08","2021-03-25",7171646,327167434,115.426779291672,2.27646484503,1.97221551099299,59,823169.002426431,16276.0887428225,5737.90113538364,278.934392856272
"1161",2895,"Arkansas",2021-03-09,325383,5357,"Tuesday",2434,103,"yes","2020-07-20","2021-03-30",3013825,327167434,107.96346835002,1.77747546722189,1.6463675115172,52,326174.692819808,5193.55917661093,8036.45289215381,-229.013726115155
"1162",2897,"Colorado",2021-03-09,440479,6084,"Tuesday",7540,30,"yes","2020-07-16","2021-05-15",5695564,327167434,77.3372048843626,1.06819974281739,1.38122362246554,53,436884.280884659,6079.66225192249,7945.87126215297,40.8442106467646
"1163",2899,"Delaware",2021-03-09,88679,1482,"Tuesday",1486,56,"yes","2020-04-28","2021-05-21",967171,327167434,91.6890601558566,1.53230400828809,1.67119611181903,52,88192.424519592,1450.09733763459,2019.43700139508,24.8728417492714
